county,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
San Mateo County,329615,332133,335767,339039,341840,344162,347945,353089,355395,356281,357846,356497,352898,351173,350084,350562,350894,353016,357763,362729,366028,370666,376123,380528,384684,388151,388626,388600,387805,385884,382461,11178284
Santa Barbara County,184435,186664,188076,189046,191276,191725,192672,195351,197084,198404,199856,201388,202283,202971,203104,203344,203232,204877,207112,209472,211434,212371,214212,216659,218900,220513,221812,222291,222571,222681,222246,6358062
Santa Clara County,738351,745718,754924,763480,770122,779413,793792,808165,818361,824452,830734,831993,823942,823497,824420,831593,840477,851174,866109,878821,890168,902776,914642,928109,939122,949832,954972,955014,953507,947718,939349,26474747
Santa Cruz County,115409,115567,117006,118112,119255,119955,120852,122922,125592,127029,128045,128180,127386,126813,126399,126103,126146,127028,128519,130336,131932,132995,133862,135209,136343,137717,138319,138646,138272,137916,136565,3974430
Shasta County,75811,78471,80043,80500,81019,81318,81664,82231,82867,82969,83786,85167,86990,88385,89189,89415,89729,89717,90138,90166,90136,90387,90593,90885,91073,90772,90883,91263,91390,91439,91109,2689505
Sierra County,1665,1668,1659,1692,1701,1726,1735,1732,1741,1722,1769,1726,1723,1744,1684,1657,1674,1653,1614,1593,1587,1536,1524,1513,1480,1475,1466,1495,1472,1472,1437,50335
Siskiyou County,22206,22354,22505,22418,22568,22731,22709,22875,22785,22593,22505,22335,22296,22383,22457,22544,22515,22445,22576,22497,22496,22405,22182,21894,21775,21712,21776,21923,21916,21923,21736,692035
Solano County,167641,173444,176526,178852,180254,180456,181741,184324,187483,192212,197077,200515,202730,203658,203936,203465,203527,203538,204155,205425,207546,208676,210661,212909,215794,218094,220648,222719,223978,224732,224403,6221119
Sonoma County,199062,202782,206346,208964,211755,214699,217782,222128,226298,230135,233606,236034,236250,236971,237066,236397,236141,237145,240243,243651,246485,248163,249680,251791,254301,255763,256832,256705,254454,251942,250550,7290121
Stanislaus County,190745,196241,200509,203966,206276,208246,210736,213865,217615,222741,228232,235110,241768,246532,248909,252447,254724,256299,256970,258366,260343,261625,263150,264576,266804,269263,272372,274967,276482,277200,277251,7514330
Sutter County,32773,33910,34890,35678,36676,37466,37971,38524,38829,39507,39984,40411,41310,42604,43511,44516,45779,46746,47145,47546,47728,47611,47365,47488,47672,47947,48084,48299,48363,48639,48428,1333400
Tehama County,25320,25950,26479,26680,27166,27673,27798,27825,27996,28070,28406,28588,28939,29546,30001,30471,30950,31269,31378,31521,31920,31773,31701,31581,31603,31757,31944,32166,32174,32803,32480,923928
Trinity County,6389,6409,6466,6505,6646,6622,6610,6501,6444,6380,6356,6298,6393,6449,6402,6523,6619,6604,6593,6663,6667,6634,6559,6546,6424,6352,6243,6176,6136,5997,5958,199564
Tulare County,157393,162170,166187,169803,172981,174096,175359,177443,179816,182289,184208,186434,189720,194418,199121,203871,207185,210823,214231,218055,221170,223065,224663,226044,227455,228499,229568,230978,232248,233240,234796,6237329
Tuolumne County,22946,23605,24049,24330,24560,24576,24722,24864,25079,25441,25854,26062,26356,26678,26753,26876,26824,26612,26588,26400,26057,25984,25780,25802,25735,25754,25869,25963,26099,26159,26113,794490
Ventura County,332121,335343,340034,343174,347700,350583,354352,360212,365387,372025,378740,384226,390568,395431,398597,398869,401002,402237,405447,410249,415341,418241,420396,423056,425485,427014,427523,428363,427841,426347,424927,12130831
Yolo County,71746,73266,74090,74911,75919,77311,78816,80749,82332,84334,86769,89762,92407,93837,94673,95192,96990,99471,101019,102298,103068,103599,104966,105687,106761,108713,110741,112491,113417,113421,113281,2922037
Yuba County,29319,29731,30336,30563,30851,30413,30318,29880,29815,29705,29936,30287,30762,31331,31701,32870,34275,35048,35549,35475,35888,35951,36025,36166,36274,36526,36969,37794,38205,38767,39591,1036321
