county,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Plumas County,9871,10055,10321,10435,10367,10401,10380,10431,10414,10448,10383,10457,10467,10518,10511,10495,10420,10377,10187,10091,9945,9883,9687,9448,9326,9215,9351,9318,9399,9510,9450,311561
Riverside County,596866,623284,642858,657294,672452,686411,696250,710717,729523,751272,776362,805926,841287,883546,926212,964535,1004595,1035359,1051257,1068580,1095277,1111413,1125076,1137630,1151232,1165974,1183777,1202068,1217951,1229809,1243027,28987820
Sacramento County,527009,542773,549512,552678,553492,558637,565884,572732,581222,590722,602263,620275,638163,651221,661417,667456,671231,677153,683542,689905,695965,701689,706804,711955,720498,729552,738433,746749,752855,759249,763199,20184235
San Benito County,18616,18854,19362,19986,20645,21447,22380,23653,24858,26047,27228,27597,27801,27963,27735,27622,27231,27162,27154,27211,27796,28088,28361,28653,29003,29190,29759,30213,30831,31493,32203,816142
San Bernardino County,720447,747832,768653,775698,779693,788329,797959,808346,822431,839645,857474,879908,898456,919564,946764,969654,984877,993521,998029,1002211,1014353,1024113,1031405,1035311,1044094,1052246,1060292,1070072,1078174,1083953,1090578,28884082
San Diego County,1280238,1301401,1319431,1318043,1323081,1325699,1338392,1357708,1378908,1405078,1422219,1443487,1457390,1458478,1467944,1473852,1479096,1492185,1516968,1536378,1557324,1573485,1595040,1612489,1633854,1651891,1664812,1671454,1679402,1677056,1679841,46092624
San Francisco County,362515,366255,369677,372921,373856,376423,380706,385841,390469,393343,395496,396982,392364,388601,385458,386135,389054,394038,400393,406499,408607,413972,421351,427517,433889,440483,444435,447894,448829,448152,441638,12483793
San Joaquin County,244991,248772,252316,255344,257747,260487,263510,266878,270736,276329,283881,295887,304728,313239,321205,328326,330907,333266,334962,337630,342065,345432,347751,348465,353671,359477,365208,370409,374880,379588,383049,9751136
San Luis Obispo County,112569,113190,114017,114844,116190,117774,119605,121467,123375,125058,127297,129114,130007,130770,132126,132954,133769,134744,136624,137338,137917,138467,140061,140445,141426,142041,142917,143222,143536,143008,142577,4058449
San Mateo County,320559,323360,327164,330542,333031,335528,339298,344423,347256,348257,349974,349124,344730,341884,340077,339516,339282,340833,346067,350888,353920,358279,363577,368603,372969,377328,379302,380058,380605,378926,375847,10881207
Santa Barbara County,186130,188246,189927,191018,192950,192857,193436,195939,197654,198502,200134,201776,202895,203839,204180,204735,204853,206366,208747,210884,212784,213033,215423,217844,220021,221538,222300,222707,222566,222783,222520,6388587
Santa Clara County,759956,767400,776962,785705,791244,800832,814903,829249,840599,847046,854213,856089,845406,840095,838747,843719,850682,860852,874855,886316,895833,909115,922963,937941,952164,965904,973172,977237,978478,974693,967756,27020126
Santa Cruz County,114207,114368,115906,117274,118459,119369,120316,122422,125297,126638,127790,127865,127145,126208,125957,125274,125470,126276,128001,129673,131242,131932,132529,133627,134520,135778,136157,136219,135441,134954,133360,3939674
Shasta County,72795,75275,76757,77235,77602,77880,78073,78530,79167,79018,79829,81241,83208,84817,85678,86200,86437,86831,87109,87113,87141,87226,87315,87562,87831,87614,87709,88140,88276,88206,87918,2585733
Sierra County,1658,1668,1663,1703,1695,1740,1763,1756,1774,1758,1805,1792,1759,1767,1746,1721,1750,1720,1706,1655,1633,1564,1544,1518,1496,1515,1490,1513,1489,1487,1483,51331
Siskiyou County,21537,21681,21793,21732,21837,22029,21998,22155,22063,21831,21713,21573,21669,21904,21937,22097,21972,22020,22204,22291,22445,22217,21909,21656,21582,21563,21626,21724,21708,21740,21509,677715
Solano County,175822,180660,183393,185399,185818,184939,185867,187557,191174,195445,199897,203694,205496,204751,205365,204716,204875,204705,204817,204865,206417,207649,208984,210725,213177,215284,218186,220835,221953,222702,222532,6267699
Sonoma County,191433,195155,198805,201723,204397,207587,210617,215013,219603,223286,226815,229259,229048,229518,229743,229541,229047,230211,232848,235828,238190,239068,240104,242079,244016,244835,245613,245498,242767,240376,239269,7031292
Stanislaus County,184567,189922,194216,197839,199998,202091,204423,207399,211139,215868,221239,228651,235701,240825,243704,247573,249927,251535,252062,253170,254794,255890,257186,258737,261010,263691,266614,269527,271373,272561,272830,7336062
Sutter County,32081,33243,34228,34997,35965,36787,37284,37790,38094,38709,39208,39727,40852,42067,42973,44248,45333,46213,46710,46820,47014,46855,46788,46969,47049,47277,47685,47862,47985,48271,47957,1315041
Tehama County,24593,25255,25710,26010,26504,27016,27145,27224,27398,27447,27764,28097,28441,28982,29570,30131,30637,30878,31270,31370,31642,31564,31512,31297,31194,31393,31524,31661,31730,32383,32014,909356
Trinity County,6663,6688,6750,6763,6906,6903,6875,6777,6727,6670,6624,6561,6671,6761,6757,6917,7015,7044,7063,7099,7088,7051,6935,6881,6702,6742,6584,6551,6462,6340,6258,209828
Tulare County,156669,161535,165769,169450,172687,174031,175373,177503,180038,182419,184419,186737,189848,194325,199105,204099,207736,211317,215052,218932,221783,223644,224962,226215,227403,228295,229423,231094,232031,232511,233884,6238289
Tuolumne County,25899,26432,26757,27444,27508,27236,27752,27814,28019,28416,28804,29191,29494,29835,29849,29912,29856,29727,29732,29445,29107,28824,28421,28173,28095,27845,27860,27990,28151,28131,28402,880121
Ventura County,337996,340363,344109,346769,350809,352903,355863,360895,365392,371332,377766,382463,388921,392639,395397,395328,397181,397790,400906,404881,409803,411667,412891,414673,416628,418585,419398,419901,419381,417856,416460,12036946
Yolo County,70468,71834,72478,73254,74053,75317,76543,78127,79411,80935,83066,85575,87920,89117,90564,91077,92625,94868,96135,97493,97993,98332,99592,100580,101607,103285,104828,105979,106665,106598,106447,2792766
Yuba County,29326,29793,30432,30712,31026,30657,30587,30231,30278,30176,30436,30962,31338,31402,32041,33415,34997,35713,36224,36132,36457,36529,36745,36916,37253,37513,37951,38781,39213,39782,40569,1053587
